name,score,description
"1-(4-Chlorophenyl)-3-(3,4-dichlorophenyl)urea (13)",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"1,2-Dimethoxy-4-(2-propenyl)-benzene",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Abies alba oil and extract,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Abies pectinata oil and extract,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Abies sibirica oil and extract,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Abies balsamea oil and extract,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Pinus mugo pumilio oil and extract,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Pinus mugo leaf and twig oil and extract,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Pinus sylvestris oil and extract,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Pinus nigra oil and extract,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Pinus palustris oil and extract,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Pinus pinaster oil and extract,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Pinus pumila leaf and twig oil and extract,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Pinus species oil and extract,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Pinus cembra oil and extract,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Pinus cembra extract acetylated,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Picea Mariana Oil and Extract,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Thuja Occidentalis Oil and Extract,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"3-Carene;
3,7,7-Trimethylbicyclo[4.1.0]hept-3-ene (isodiprene)",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Cedrus atlantica oil and extract,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Cupressus sempervirens oil and extract,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Turpentine gum (Pinus spp.); Turpentine oil and rectified oil; Turpentine, steam distilled (Pinus spp.)",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Terpene alcohols acetates,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Terpene hydrocarbons,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Terpenes and terpenoids with the exception of limonene (d-, l-, and dl-isomers) listed under reference numbers 88, 167 and 168 of this Annex III",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Terpenes and terpenoids,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"p-Mentha-1,3-diene",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"gamma-Terpinene;
p-Mentha-1,4-diene",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"p-Mentha-1,4(8)- diene",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Acetyl hexamethyl indan;
1,1,2,3,3,6-Hexamethylindan-5-yl methyl ketone",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Allyl butyrate;
2-Propenyl Butanoate",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Allyl cinnamate;
2-Propenyl 3-Phenyl-2-propenoate",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Allyl cyclohexylacetate;
2-Propenyl Cyclohexaneacetate",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Allyl cyclohexylpropionate;
2-Propenyl 3-Cyclohexanepropanoate",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Allyl heptanoate;
2-Propenyl heptanoate",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Allyl caproate;
Allyl hexanoate",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Allyl isovalerate;
2-Propenyl 3-Methylbutanoate",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Allyl octanoate;
2-Allyl caprylate",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Allyl phenoxyacetate;
2-Propenyl Phenoxyacetate",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Allyl phenylacetate;
2-Propenyl Benzeneacetate",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Allyl 3,5,5-trimethylhexanoate",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Allyl cyclohexyloxyacetate,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Allyl isoamyloxyacetate,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Allyl 2-methylbutoxyacetate,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Allyl nonanoate,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Allyl propionate,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Allyl phenethyl ether,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Allyl trimethylhexanoate,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Allyl heptine carbonate
(allyl oct-2-ynoate)",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Amylcyclopentenone;
2-Pentylcyclopent-2-en-1-one",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Myroxylon balsamum var. pereirae; extracts and distillates; Balsam Peru oil, absolute and anhydrol (Balsam Oil Peru)",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"4-tert.-Butyldihydrocinnamaldehyde;
3-(4-tert-Butylphenyl)propionaldehyde",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Cuminum cyminum oil and extract,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"1-(2,6,6-trimethyl-2-cyclohexen-1-yl)-2-buten-1-one; 1-(2,6,6-Trimethylcyclohexa-1,3-dien-1-yl)-2-buten-1-one; 1-(2,6,6-Trimethyl-3-cyclohexen-1-yl)-2-buten-1-one; (Z)-1-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2-buten-1-one; (E)-1-(2,6,6-Trimethyl-1-cyclohexen-1-yl)-2-buten-1-one",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"trans-Rose ketone-5 (see note 16)
(E)-1-(2,4,4-Trimethyl-2-cyclohexen-1-yl)-2-buten-1-one 
(Isodamascone)",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Rose ketone-5 (see note 16)
1-(2,4,4-Trimethyl-2-cycloehexen-1-yl)-2-buten-1-one",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
trans-2-hexenal,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"p-Mentha-1,8-dien-7-al",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Isobergamate; Menthadiene-7-methyl formate,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Methoxy dicyclopentadiene carboxaldehyde; Octahydro-5-methoxy-4,7-Methano-1H-indene-2-carboxaldehyde",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
3-Methylnon-2-enenitrile,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Methyl octine carbonate; Methyl non-2-ynoate,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Amylvinylcarbinyl acetate; 1-Octen-3-yl acetate,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
3-Propylidene-1(3H)- isobenzofuranone; 3-Propylidenephthalide,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Isocyclogeraniol; 2,4,6-Trimethyl-3-cyclohexene-1-methanol",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
2-Hexylidene cyclopentanone,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Methyl heptadienone; 6-Methyl-3,5-heptadien-2-one",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
p-methylhydrocinnamic aldehyde; Cresylpropionaldehyde; p-Methyldihydrocinnamaldehyde,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Liquidambar orientalis oil and extract (styrax),-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Liquidambar styraciflua oil and extract (styrax),-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"1-(5,6,7,8-Tetrahydro-3,5,5,6,8,8,-hexamethyl-2-naphthyl)ethan-1-one (AHTN)",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Commiphora erythrea engler var. glabrescens engler gum extract and oil,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Opopanax chironium resin,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Toluene,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"2,2'-oxydiethanol
Diethylene glycol (DEG)",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Diethylene glycol monobutyl ether (DEGBE),-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Ethylene glycol monobutyl ether (EGBE),-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Trisodium 5-hydroxy-1-(4-sulphophenyl)-4-(4-sulphophenylazo)pyrazole-3-carboxylate and aluminium lake (see note 17).
CI 19140",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Benzenemethanaminium, N-ethyl-N-[4-[[4-[ethyl-[(3-sulfophenyl)-methyl]-amino]-phenyl](2-sulfophenyl)methylene]-2,5-cyclohexadien-1-ylidene]-3-sulfo, inner salts, disodium salt and its ammonium and aluminium salts (15); Acid Blue  Acid Blue 9 Ammonium salt; CI 42090.
(see note 17)",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Disodium 6-hydroxy-5-[(2-methoxy-4-sulphonato-m-tolyl)azo]naphthalene-2-sulphonate (15); CI 16035.
(see note 17)",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Trisodium 1-(1-naphthylazo)-2-hydroxynaphthalene-4',6,8-trisulphonate and aluminium lake  (Cl 16255) (see note 17).",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Hydrogen 3,6-bis(diethylamino)-9-(2,4-disulphonatophenyl)xanthylium, sodium salt; CI 45100 (see note 17)",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Glyoxal,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Sodium 1-amino-4-(cyclohexylamino)-9,10-dihydro-9,10-dioxoanthracene-2-sulphonate; CI 62045 (see note 17)",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
1-[(2'-Methoxyethyl)amino]-2-nitro-4-[di-(2'-hydroxyethyl)amino]benzene (see note 17),-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Verbena absolute,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Ethyl Lauroyl Arginate HCl,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"2,2′-[(4-Aminophenyl))imino]bis (ethanol) sulphate; N,N-bis(2-Hydroxyethyl)- p-Phenylenediamine Sulfate",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"1,3-Benzenediol, 4-Chlororesorcinol",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"1-Propanol, 3-[[4-[bis(2-hydroxyethyl)amino]-2-nitrophenyl]amino] (see note 17)",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"2,4,5,6-Tetraaminopyrimidine sulphate",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Phenol, 2-Chloro-6-(ethylamino)-4-nitro- (see note 17)",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"4,4'-[1,3-Propanediylbis(oxy)]bisbenzene-1,3-diamine and its tetrahydrochloride salt (see note 17)",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"6-Methoxy-N2-methyl-2,3-pyridinediamine hydrochloride and dihydrochloride salt",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"2,3-Dihydro-1H-indole-5,6-diol and its hydrobromide salt  (see note 17).",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
1-Hydroxy-3-nitro-4-(3-hydroxypropylamino)benzene (see note 17),-5,Substanta RESTRICTIOANATA in UE (Anexa III)
3-(2-Hydroxyethyl)-p- phenylenediammonium sulphate,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"1H-Indole-5,6-diol",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
1-(beta-Aminoethyl)amino-4-(beta-hydroxyethyl)oxy-2-nitrobenzene and its salts,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
5-Amino-4-chloro-2-methylphenol hydrochloride,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
1H-Indol-6-ol,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"1H-Indole-2,3-Dione",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
2-Aminopyridin-3-ol; 2-Amino-3-Hydroxypyridine,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
2-Methyl-1-naphthyl acetate,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
