id,inci_name,score,description,Restriction,Function
17791,OCTAPEPTIDE-15,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, REDUCING, SKIN PROTECTING"
17792,OCTAPEPTIDE-16,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17793,OCTAPEPTIDE-17,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17794,OCTAPEPTIDE-18,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17795,OCTAPEPTIDE-19,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17796,OCTAPEPTIDE-2,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17797,OCTAPEPTIDE-20 AMIDE,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17798,OCTAPEPTIDE-21 AMIDE,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17799,OCTAPEPTIDE-22,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17800,OCTAPEPTIDE-22 R-THERMUS THERMOPHILUS PUTATIVE ESTERASE HEXAPEPTIDE-40,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17801,OCTAPEPTIDE-23,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17802,OCTAPEPTIDE-24,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17803,OCTAPEPTIDE-25,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17804,OCTAPEPTIDE-26,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17805,OCTAPEPTIDE-27 AMIDE,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17806,OCTAPEPTIDE-28,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17807,OCTAPEPTIDE-29,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17808,OCTAPEPTIDE-29 TRIFLUOROACETATE,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17809,OCTAPEPTIDE-3,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17810,OCTAPEPTIDE-30,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17811,OCTAPEPTIDE-31,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17812,OCTAPEPTIDE-32,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN PROTECTING"
17813,OCTAPEPTIDE-33,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17814,OCTAPEPTIDE-34,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17815,OCTAPEPTIDE-35,10,Safe ingredient (No EU restrictions),,SKIN PROTECTING
17816,OCTAPEPTIDE-36,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17817,OCTAPEPTIDE-37,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17818,OCTAPEPTIDE-38,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
