id,inci_name,score,description,Restriction,Function
7355,COPPER TRIPEPTIDE-34,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7356,COPPER TRIPEPTIDE-34 HCL,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7357,COPPER USNATE,10,Safe ingredient (No EU restrictions),,ANTIMICROBIAL
7358,COPRINUS COMATUS EXTRACT,10,Safe ingredient (No EU restrictions),,ANTIOXIDANT
7359,COPRINUS COMATUS POWDER,10,Safe ingredient (No EU restrictions),,ANTIOXIDANT
7360,COPROSMA GRANDIFOLIA LEAF/STEM EXTRACT,10,Safe ingredient (No EU restrictions),,ANTIMICROBIAL
7361,COPTIS CHINENSIS RHIZOME EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7362,COPTIS CHINENSIS RHIZOME/PHELLODENDRON CHINENSE BARK/SCUTELLARIA BAICALENSIS ROOT/GARDENIA JASMINOIDES FRUIT EXTRACT,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT"
7363,COPTIS CHINENSIS ROOT EXTRACT,10,Safe ingredient (No EU restrictions),,ANTIOXIDANT
7364,COPTIS CHINENSIS ROOT/STALK POWDER,10,Safe ingredient (No EU restrictions),,"ABRASIVE, FRAGRANCE, SKIN PROTECTING"
7365,COPTIS JAPONICA EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTI-SEBORRHEIC, ANTIMICROBIAL, HAIR CONDITIONING, SKIN CONDITIONING"
7366,COPTIS JAPONICA RHIZOME EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTIMICROBIAL, SKIN CONDITIONING"
7367,COPTIS JAPONICA ROOT EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7368,CORAL EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7369,CORAL POWDER,10,Safe ingredient (No EU restrictions),,ABRASIVE
7370,CORALLINA FERREYRAE EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - MISCELLANEOUS
7371,CORALLINA OFFICINALIS EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7372,CORALLINA OFFICINALIS POWDER,10,Safe ingredient (No EU restrictions),,"BINDING, VISCOSITY CONTROLLING"
7373,CORALLINA OFFICINALIS THALLUS EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7374,CORCHORUS CAPSULARIS EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7375,CORCHORUS CAPSULARIS POWDER,10,Safe ingredient (No EU restrictions),,"BULKING, OPACIFYING"
7376,CORCHORUS OLITORIUS LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7377,CORCHORUS OLITORIUS LEAF/STEM EXTRACT,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT"
7378,CORDIA CURASSAVICA LEAF OIL,10,Safe ingredient (No EU restrictions),,FRAGRANCE
7379,CORDIA OBLIQUA LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7380,CORDIA SALICIFOLIA EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7381,CORDYCEPIN,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7382,CORDYCEPS BASSIANA EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7383,CORDYCEPS CICADAE MYCELIUM EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, BLEACHING, SKIN CONDITIONING, SKIN PROTECTING"
7384,CORDYCEPS MILITARIS EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7385,CORDYCEPS MILITARIS FERMENT FILTRATE,10,Safe ingredient (No EU restrictions),,"HUMECTANT, SKIN CONDITIONING"
7386,CORDYCEPS MILITARIS MYCELIUM EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7387,CORDYCEPS MILITARIS MYCELIUM/GINSENG ROOT FERMENT EXTRACT FILTRATE,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7388,CORDYCEPS MILITARIS/GERMINATED SOYBEAN FERMENT EXTRACT FILTRATE,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN PROTECTING"
7389,CORDYCEPS MILITARIS/PRUNUS MUME FRUIT/SUCROSE FERMENT FILTRATE,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7390,CORDYCEPS SINENSIS EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, HUMECTANT, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SKIN PROTECTING"
7391,CORDYCEPS SINENSIS MYCELIUM EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7392,CORDYCEPS SINENSIS POWDER,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7393,CORDYCEPS SINENSIS/GANODERMA LUCIDUM/INONOTUS OBLIQUUS EXTRACT,10,Safe ingredient (No EU restrictions),,"HAIR CONDITIONING, SKIN CONDITIONING - MISCELLANEOUS"
7394,CORDYCEPS SOBOLIFERA MYCELIUM EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, BLEACHING, SKIN CONDITIONING, SKIN PROTECTING"
7395,CORDYCEPS SPHECOCEPHALA EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7396,CORDYLINE TERMINALIS LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,"ASTRINGENT, SKIN CONDITIONING"
7397,COREGONUS CLUPEAFORMIS EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7398,COREOPSIS BASALIS EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, HUMECTANT, SKIN CONDITIONING"
7399,COREOPSIS TINCTORIA FLOWER EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7400,COREOPSIS TINCTORIA FLOWER/LEAF/STEM EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7401,CORIANDRUM SATIVUM CALLUS CULTURE CONDITIONED MEDIA,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, SKIN CONDITIONING, SKIN PROTECTING"
7402,CORIANDRUM SATIVUM CALLUS EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, SKIN CONDITIONING, SKIN PROTECTING"
7403,CORIANDRUM SATIVUM EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7404,CORIANDRUM SATIVUM FRUIT EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTIMICROBIAL, FLAVOURING, PERFUMING"
7405,CORIANDRUM SATIVUM FRUIT OIL,10,Safe ingredient (No EU restrictions),,"FRAGRANCE, PERFUMING"
7406,CORIANDRUM SATIVUM FRUIT/LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTI-SEBUM, FRAGRANCE"
7407,CORIANDRUM SATIVUM HERB OIL,10,Safe ingredient (No EU restrictions),,PERFUMING
7408,CORIANDRUM SATIVUM LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTIMICROBIAL, SKIN CONDITIONING - HUMECTANT"
7409,CORIANDRUM SATIVUM LEAF/STEM JUICE,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - MISCELLANEOUS
7410,CORIANDRUM SATIVUM LEAF/STEM OIL,10,Safe ingredient (No EU restrictions),,"FRAGRANCE, SKIN CONDITIONING - MISCELLANEOUS"
7411,CORIANDRUM SATIVUM OIL,10,Safe ingredient (No EU restrictions),,"FRAGRANCE, SKIN CONDITIONING"
7412,CORIANDRUM SATIVUM SEED EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7413,CORIANDRUM SATIVUM SEED OIL,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - EMOLLIENT
7414,CORIANDRUM SATIVUM SEED POWDER,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7415,CORIANDRUM SATIVUM SEED WATER,10,Safe ingredient (No EU restrictions),,"HUMECTANT, SKIN CONDITIONING"
7416,CORIANDRUM SATIVUM SPROUT EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, SKIN CONDITIONING"
7417,CORIDOTHYMUS CAPITATUS OIL,10,Safe ingredient (No EU restrictions),,FLAVOURING
7418,CORIOLUS VERSICOLOR EXTRACT,10,Safe ingredient (No EU restrictions),,HUMECTANT
7419,CORISPERMUM SIBIRICUM FLOWER/LEAF/STEM EXTRACT,10,Safe ingredient (No EU restrictions),,"HAIR CONDITIONING, SKIN CONDITIONING"
7420,CORN ACID,10,Safe ingredient (No EU restrictions),,"CLEANSING, OPACIFYING, SKIN CONDITIONING - EMOLLIENT, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING"
7421,CORN GLUTEN AMINO ACIDS,10,Safe ingredient (No EU restrictions),,"HAIR CONDITIONING, SKIN CONDITIONING"
7422,CORN GLYCERIDES,10,Safe ingredient (No EU restrictions),,"HUMECTANT, SKIN CONDITIONING, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING"
7423,CORN KERNEL/WHEAT KERNEL/SOYBEAN/PEA SEED AMINO ACIDS,10,Safe ingredient (No EU restrictions),,"HAIR CONDITIONING, SKIN CONDITIONING"
7424,CORN OIL GLYCERETH-8 ESTERS,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING - EMOLLIENT, SURFACTANT - EMULSIFYING"
7425,CORN OIL PEG-6 ESTERS,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING"
7426,CORN OIL PEG-8 ESTERS,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING"
7427,CORN STARCH MODIFIED,10,Safe ingredient (No EU restrictions),,"ABSORBENT, FILM FORMING, SKIN CONDITIONING, VISCOSITY CONTROLLING"
7428,CORN STARCH/ACRYLAMIDE/SODIUM ACRYLATE COPOLYMER,-5,RESTRICTED in EU (Annex III),III/66,"ANTISTATIC, FILM FORMING, HAIR CONDITIONING, HAIR FIXING, LIGHT STABILIZER"
7429,CORN STARCH/MALTODEXTRIN CROSSPOLYMER,10,Safe ingredient (No EU restrictions),,FILM FORMING
7430,CORNAMIDE DEA,-5,RESTRICTED in EU (Annex III),III/60,"SURFACTANT - CLEANSING, SURFACTANT - FOAM BOOSTING, VISCOSITY CONTROLLING"
7431,CORNAMIDE/COCAMIDE DEA,-5,RESTRICTED in EU (Annex III),III/60,"SURFACTANT - CLEANSING, SURFACTANT - FOAM BOOSTING, VISCOSITY CONTROLLING"
7432,CORNUS CONTROVERSA EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7433,CORNUS CONTROVERSA LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, ASTRINGENT, HAIR CONDITIONING, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT"
7434,CORNUS CONTROVERSA WOOD EXTRACT,10,Safe ingredient (No EU restrictions),,HUMECTANT
7435,CORNUS KOUSA EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7436,CORNUS MACROPHYLLA LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7437,CORNUS MAS EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7438,CORNUS OFFICINALIS FLOWER EXTRACT,10,Safe ingredient (No EU restrictions),,"HUMECTANT, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT"
7439,CORNUS OFFICINALIS FRUIT EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7440,CORNUS STOLONIFERA LEAF/STEM EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7441,CORNUS WALTERI EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7442,CORNUS WALTERI LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7443,CORNYEABACTERIUM LIPOPHILICUS/PRASTERONE FERMENT FILTRATE EXTRACT,-10,PROHIBITED in EU (Annex II),II/37,SKIN CONDITIONING
7444,CORTHELLUS SHIITAKE EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN PROTECTING
7445,CORTUSA MATTHIOLI FLOWER/LEAF/STEM EXTRACT,10,Safe ingredient (No EU restrictions),,"HUMECTANT, SKIN CONDITIONING"
7446,CORYDALIS AMBIGUA BARK/ROOT EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7447,CORYDALIS HETEROCARPA EXTRACT,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT"
7448,CORYDALIS OCHOTENSIS EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7449,CORYDALIS TURTSCHANINOVII ROOT EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7450,CORYDALIS YANHUSUO EXTRACT,10,Safe ingredient (No EU restrictions),,ANTIOXIDANT
7451,CORYDALIS YANHUSUO ROOT/LEONURUS JAPONICUS EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN PROTECTING
7452,CORYLOPSIS COREANA EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7453,CORYLUS AMERICANA LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7454,CORYLUS AMERICANA SEED EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7455,CORYLUS AMERICANA SEED OIL,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7456,CORYLUS AVELLANA BUD EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7457,CORYLUS AVELLANA ETHYL ESTER,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7458,CORYLUS AVELLANA FLOWER EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7459,CORYLUS AVELLANA LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7460,CORYLUS AVELLANA LEAF WATER,10,Safe ingredient (No EU restrictions),,"FRAGRANCE, TONIC"
7461,CORYLUS AVELLANA SEED EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7462,CORYLUS AVELLANA SEED OIL,10,Safe ingredient (No EU restrictions),,FRAGRANCE
7463,CORYLUS AVELLANA SEED POWDER,10,Safe ingredient (No EU restrictions),,ABRASIVE
7464,CORYLUS AVELLANA SHELL POWDER,10,Safe ingredient (No EU restrictions),,ABRASIVE
7465,CORYLUS ROSTRATA LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7466,CORYLUS ROSTRATA SEED EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7467,CORYLUS ROSTRATA TWIG EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, SKIN CONDITIONING"
7468,CORYNANTHE YOHIMBE BARK EXTRACT,10,Safe ingredient (No EU restrictions),,"HUMECTANT, SKIN CONDITIONING"
7469,CORYNEBACTERIUM FERMENT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7470,CORYNEBACTERIUM GLUTAMICUM FERMENT FILTRATE,10,Safe ingredient (No EU restrictions),,SKIN PROTECTING
7471,COSCINIUM FENESTRATUM STEM OIL,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7472,COSMOS BIPINNATUS CALLUS CULTURE EXTRACT,10,Safe ingredient (No EU restrictions),,
7473,COSMOS BIPINNATUS FLOWER EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN PROTECTING
7474,COSMOS BIPINNATUS PHYTOPLACENTA EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTIMICROBIAL, ANTIOXIDANT, HAIR CONDITIONING, SKIN PROTECTING"
7475,COSMOS SULPHUREUS FLOWER/LEAF/STEM EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7476,COSTUS SPECIOSUS RHIZOME/ROOT EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7477,COTA TINCTORIA FLOWER/LEAF/STEM EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7478,COTINUS COGGYGRIA BRANCH/LEAF OIL,10,Safe ingredient (No EU restrictions),,"FLAVOURING, FRAGRANCE, PERFUMING"
7479,COTINUS COGGYGRIA LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, ASTRINGENT, HUMECTANT"
7480,COTTON,10,Safe ingredient (No EU restrictions),,"ABSORBENT, ANTICAKING, BULKING, OPACIFYING, SKIN CONDITIONING - MISCELLANEOUS, SLIP MODIFIER"
7481,COTTONSEED ACID,10,Safe ingredient (No EU restrictions),,"CLEANSING, SKIN CONDITIONING - EMOLLIENT, SURFACTANT - CLEANSING"
7482,COTTONSEED GLYCERIDE,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING"
7483,COTTONSEED OIL GLYCERETH-8 ESTERS,10,Safe ingredient (No EU restrictions),,"CLEANSING, SURFACTANT - CLEANSING"
7484,COTTONSEED OIL/PALM OIL AMINOPROPANEDIOL ESTERS,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7485,COTTONSEEDAMIDOPROPYL ETHYLDIMONIUM ETHOSULFATE,10,Safe ingredient (No EU restrictions),,HAIR CONDITIONING
7486,COUMARAMIDO FERULAMIDOBUTANE,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7487,COUMARIN,-5,RESTRICTED in EU (Annex III),III/77,PERFUMING
7488,COUMAROYL DIPEPTIDE-3,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN PROTECTING"
7489,COUMAROYL HEXAPEPTIDE-77,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN PROTECTING"
7490,COUMAROYL METHOXYTRYPTAMINE,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7491,COUMAROYL NONAPEPTIDE-29,10,Safe ingredient (No EU restrictions),,NOT REPORTED
7492,COUMAROYL SH-PENTAPEPTIDE-5,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, SKIN PROTECTING"
7493,COUMAROYL TRIPEPTIDE-1,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, BLEACHING, SKIN PROTECTING"
7494,COUMAROYL TRIPEPTIDE-35,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, BLEACHING, SKIN PROTECTING"
7495,COW BLOOD CLOT EXTRACT,-10,PROHIBITED in EU (Annex II),II/419,"HAIR CONDITIONING, SKIN CONDITIONING"
7496,COW COLOSTRUM EXTRACT,10,Safe ingredient (No EU restrictions),,"HUMECTANT, SKIN CONDITIONING"
7497,COW PLATELETS,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7498,CRAMBE ABYSSINICA SEED OIL,10,Safe ingredient (No EU restrictions),,"HAIR CONDITIONING, SKIN CONDITIONING"
7499,CRAMBE ABYSSINICA SEED OIL PHYTOSTEROL ESTERS,10,Safe ingredient (No EU restrictions),,"FILM FORMING, HAIR CONDITIONING, SKIN CONDITIONING, SURFACTANT - EMULSIFYING"
7500,CRAMBE MARITIMA EXTRACT,10,Safe ingredient (No EU restrictions),,"HAIR CONDITIONING, SKIN PROTECTING"
7501,CRAMBE MARITIMA LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7502,CRASSULA ARGENTEA LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,HAIR CONDITIONING
7503,CRASSULA ARGENTEA LEAF WATER,10,Safe ingredient (No EU restrictions),,"HUMECTANT, SKIN CONDITIONING"
7504,CRATAEGUS CUNEATA FRUIT EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7505,CRATAEGUS CUNEATA FRUIT POWDER,10,Safe ingredient (No EU restrictions),,HUMECTANT
7506,CRATAEGUS DAHURICA LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,"HAIR CONDITIONING, HUMECTANT, SKIN CONDITIONING"
7507,CRATAEGUS MONOGYNA FLOWER EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7508,CRATAEGUS MONOGYNA FLOWER WATER,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7509,CRATAEGUS MONOGYNA FRUIT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7510,CRATAEGUS MONOGYNA FRUIT EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7511,CRATAEGUS MONOGYNA FRUIT/LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7512,CRATAEGUS MONOGYNA LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7513,CRATAEGUS MONOGYNA MERISTEM CELL CULTURE EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7514,CRATAEGUS MONOGYNA POWDER,10,Safe ingredient (No EU restrictions),,ABRASIVE
7515,CRATAEGUS OXYACANTHA EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7516,CRATAEGUS OXYACANTHA FLOWER EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7517,CRATAEGUS OXYACANTHA FLOWER WATER,10,Safe ingredient (No EU restrictions),,FRAGRANCE
7518,CRATAEGUS OXYACANTHA FRUIT EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7519,CRATAEGUS OXYACANTHA LEAF,10,Safe ingredient (No EU restrictions),,EXFOLIATING
7520,CRATAEGUS OXYACANTHA STEM EXTRACT,10,Safe ingredient (No EU restrictions),,ANTIMICROBIAL
7521,CRATAEGUS PINNATIFIDA FRUIT EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7522,CREAM,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT"
7523,CREATINE,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7524,CREPIDIASTRUM DENTICULATUM LEAF/STEM EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7525,CREPIDIASTRUM LANCEOLATUM LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7526,CREPIDIASTRUM SONCHIFOLIUM EXTRACT,10,Safe ingredient (No EU restrictions),,ANTIOXIDANT
7527,CREPIS SIBIRICA FLOWER/LEAF/STEM EXTRACT,10,Safe ingredient (No EU restrictions),,"HAIR CONDITIONING, SKIN CONDITIONING"
7528,CRESYL ACETATE,10,Safe ingredient (No EU restrictions),,PERFUMING
7529,CRESYL METHOXYCINNAMATE,10,Safe ingredient (No EU restrictions),,"LIGHT STABILIZER, UV ABSORBER"
7530,CRESYLACETALDEHYDE DIMETHYL ACETAL,10,Safe ingredient (No EU restrictions),,PERFUMING
7531,CRICKET EXTRACT,10,Safe ingredient (No EU restrictions),,ANTIOXIDANT
7532,CRICKET OIL,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING - EMOLLIENT, SKIN CONDITIONING - HUMECTANT"
7533,CRINUM ASIATICUM EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7534,CRINUM ASIATICUM ROOT EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7535,CRINUM ASIATICUM SEED EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7536,CRINUM ZEYLANICUM OIL,10,Safe ingredient (No EU restrictions),,HAIR CONDITIONING
7537,CRITHMUM MARITIMUM CALLUS CULTURE EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7538,CRITHMUM MARITIMUM CALLUS CULTURE FILTRATE,10,Safe ingredient (No EU restrictions),,SKIN PROTECTING
7539,CRITHMUM MARITIMUM CALLUS CULTURE FILTRATE EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN PROTECTING
7540,CRITHMUM MARITIMUM CALLUS EXTRACT,10,Safe ingredient (No EU restrictions),,ANTIOXIDANT
7541,CRITHMUM MARITIMUM EXTRACT,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, TONIC"
7542,CRITHMUM MARITIMUM FLOWER/LEAF/SEED/STEM WATER,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - MISCELLANEOUS
7543,CRITHMUM MARITIMUM POWDER,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7544,CROCETIN,10,Safe ingredient (No EU restrictions),,ANTIOXIDANT
7545,CROCIN,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, COLORANT"
7546,CROCODILE OIL,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT"
7547,CROCUS CHRYSANTHUS BULB EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7548,CROCUS SATIVUS CALLUS EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, HAIR CONDITIONING, SKIN CONDITIONING"
7549,CROCUS SATIVUS EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, SKIN CONDITIONING - MISCELLANEOUS"
7550,CROCUS SATIVUS FLOWER EXTRACT,10,Safe ingredient (No EU restrictions),,FRAGRANCE
7551,CROCUS SATIVUS LEAF CELL CULTURE EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN PROTECTING
7552,CROCUS SATIVUS MERISTEM CELL EXTRACT,10,Safe ingredient (No EU restrictions),,"HAIR CONDITIONING, SKIN CONDITIONING"
7553,CROCUS SATIVUS STIGMA EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, SKIN CONDITIONING - MISCELLANEOUS"
7554,CROCUS SATIVUS STIGMA OIL,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - MISCELLANEOUS
7555,CROCUS SATIVUS STIGMA WATER,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7556,CROCUS SATIVUS STYLE EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7557,CROSCARMELLOSE,10,Safe ingredient (No EU restrictions),,"BINDING, BULKING, GEL FORMING, VISCOSITY CONTROLLING"
7558,CROSSLINKED BACILLUS/GLUCOSE/SODIUM GLUTAMATE FERMENT,10,Safe ingredient (No EU restrictions),,"EMULSION STABILISING, HAIR FIXING, HUMECTANT, SKIN CONDITIONING, VISCOSITY CONTROLLING"
7559,CROTAMITON,10,Safe ingredient (No EU restrictions),,"ANTIMICROBIAL, SOLVENT"
7560,CROTON ELUTERIA OIL,10,Safe ingredient (No EU restrictions),,PERFUMING
7561,CROTON GLABELLUS BARK EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7562,CROTON GLABELLUS BARK OIL,10,Safe ingredient (No EU restrictions),,FRAGRANCE
7563,CROTON GRATISSIMUS SEED EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7564,CROTON LECHLERI RESIN,10,Safe ingredient (No EU restrictions),,ANTIOXIDANT
7565,CROTON LECHLERI RESIN EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
7566,CROTON LECHLERI RESIN POWDER,10,Safe ingredient (No EU restrictions),,EXFOLIATING
