name,score,description
2-Diethylaminoethyl 3-hydroxy-4-phenylbenzoate and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Cinchocaine (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
3-Diethylaminopropyl cinnamate,-10,Substanta INTERZISA in UE (Anexa II)
"O,O'-Diethyl-O-4-nitrophenyl phosphorothioate (Parathion - ISO)",-10,Substanta INTERZISA in UE (Anexa II)
"[Oxalylbis(iminoethylene)]bis[(o-chlorobenzyl)diethylammonium] salts, e.g. ambenonium chloride (INN)",-10,Substanta INTERZISA in UE (Anexa II)
Methyprylon (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Digitaline and all heterosides of Digitalis purpurea L.,-10,Substanta INTERZISA in UE (Anexa II)
7-[2-Hydroxy-3-(N-(2-hydroxyethyl)-N-methylamino)propyl]theophylline; (Xanthinol),-10,Substanta INTERZISA in UE (Anexa II)
Dioxethedrin (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Piprocurarium iodide (INN),-10,Substanta INTERZISA in UE (Anexa II)
Propyphenazone (INN),-10,Substanta INTERZISA in UE (Anexa II)
Tetrabenazine (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Captodiame (INN),-10,Substanta INTERZISA in UE (Anexa II)
Mefeclorazine (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Dimethylamine,-10,Substanta INTERZISA in UE (Anexa II)
"1,1-Bis(dimethylaminomethyl)propyl benzoate (amydricaine, alypine) and its salts",-10,Substanta INTERZISA in UE (Anexa II)
Methapyrilene (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Metamfepramone (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Amitriptyline (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Metformin (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Isosorbide dinitrate (INN),-10,Substanta INTERZISA in UE (Anexa II)
Malononitrile,-10,Substanta INTERZISA in UE (Anexa II)
Succinonitrile,-10,Substanta INTERZISA in UE (Anexa II)
Dinitrophenol isomers,-10,Substanta INTERZISA in UE (Anexa II)
Inproquone (INN),-10,Substanta INTERZISA in UE (Anexa II)
Dimevamide (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Diphenylpyraline (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Sulfinpyrazone (INN),-10,Substanta INTERZISA in UE (Anexa II)
"N-(3-Carbamoyl-3,3-diphenylpropyl)-N,N-diisopropylmethylammonium salts, e.g. isopropamide iodide (INN)",-10,Substanta INTERZISA in UE (Anexa II)
Benactyzine (INN),-10,Substanta INTERZISA in UE (Anexa II)
Benzatropine (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Cyclizine (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
"5,5-Diphenyl-4-imidazolidone (Doxenitoin (INN))",-10,Substanta INTERZISA in UE (Anexa II)
Probenecid (INN),-10,Substanta INTERZISA in UE (Anexa II)
Disulfiram (INN); thiram (ISO) (INN),-10,Substanta INTERZISA in UE (Anexa II)
"Emetine, its salts and derivatives",-10,Substanta INTERZISA in UE (Anexa II)
Ephedrine and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Oxanamide (INN) and its derivatives,-10,Substanta INTERZISA in UE (Anexa II)
Eserine or physostigmine and its salts,-10,Substanta INTERZISA in UE (Anexa II)
"4-Aminobenzoic acid and its esters, with the free amino group",-10,Substanta INTERZISA in UE (Anexa II)
Choline salts and their esters e.g. choline chloride (INN),-10,Substanta INTERZISA in UE (Anexa II)
Caramiphen (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Diethyl 4-nitrophenyl phosphate (Paraoxon - ISO),-10,Substanta INTERZISA in UE (Anexa II)
Metethoheptazine (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Oxpheneridine (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Ethoheptazine (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Metheptazine (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Methylphenidate (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Doxylamine (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Tolboxane (INN),-10,Substanta INTERZISA in UE (Anexa II)
4-Benzyloxyphenol and 4-ethoxyphenol,-10,Substanta INTERZISA in UE (Anexa II)
Parethoxycaine (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Fenozolone (INN),-10,Substanta INTERZISA in UE (Anexa II)
Glutethimide (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Ethylene oxide,-10,Substanta INTERZISA in UE (Anexa II)
Bemegride (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Valnoctamide (INN),-10,Substanta INTERZISA in UE (Anexa II)
Haloperidol (INN),-10,Substanta INTERZISA in UE (Anexa II)
Paramethasone (INN),-10,Substanta INTERZISA in UE (Anexa II)
Fluanisone (INN),-10,Substanta INTERZISA in UE (Anexa II)
Trifluperidol (INN),-10,Substanta INTERZISA in UE (Anexa II)
Fluoresone (INN),-10,Substanta INTERZISA in UE (Anexa II)
Fluorouracil (INN),-10,Substanta INTERZISA in UE (Anexa II)
"Hydrofluoric acid, its normal salts, its complexes and hydrofluorides with exception of those given in Annex III",-10,Substanta INTERZISA in UE (Anexa II)
"Furfuryltrimethyl ammonium salts, e.g. furtrethonium iodide (INN)",-10,Substanta INTERZISA in UE (Anexa II)
Galantamine (INN),-10,Substanta INTERZISA in UE (Anexa II)
Progestogens,-10,Substanta INTERZISA in UE (Anexa II)
"1,2,3,4,5,6-Hexachlorocyclohexane (BHC-ISO)",-10,Substanta INTERZISA in UE (Anexa II)
"(1R,4S,5R,8S)-1,2,3,4,10,10-Hexachloro-6,7-epoxy-1,4,4a,5,6,7,8,8a-octahydro-1,4:5,8-dimethanonaphthalene (endrin - ISO)",-10,Substanta INTERZISA in UE (Anexa II)
Hexachloroethane,-10,Substanta INTERZISA in UE (Anexa II)
"(1R,4S,5R,8S)-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene (Isodrin-ISO)",-10,Substanta INTERZISA in UE (Anexa II)
"Hydrastine, hydrastinine and their salts",-10,Substanta INTERZISA in UE (Anexa II)
Hydrazides and their salts e.g. Isoniazid (INN),-10,Substanta INTERZISA in UE (Anexa II)
"Hydrazine, its derivatives and their salts",-10,Substanta INTERZISA in UE (Anexa II)
Octamoxin (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Warfarin (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Ethyl bis(4-hydroxy-2-oxo-1-benzopyran-3-yl)acetate and salts of the acid,-10,Substanta INTERZISA in UE (Anexa II)
Methocarbamol (INN),-10,Substanta INTERZISA in UE (Anexa II)
Propatylnitrate (INN),-10,Substanta INTERZISA in UE (Anexa II)
"4,4'-Dihydroxy-3,3'-(3-methylthiopropylidene) dicoumarin",-10,Substanta INTERZISA in UE (Anexa II)
Fenadiazole (INN),-10,Substanta INTERZISA in UE (Anexa II)
